CENARIO,POSTO,MES1,MES2,MES3,MES4,MES5,MES6
0,1,103.57539024259499,152.89513355398302,78.27005541681928,60.71958353859049,73.05846456321159,53.10229637500731
0,2,102.80259383609783,154.0298011341199,78.46538920839627,60.59866935720154,71.18541224423585,52.7040903633129
0,3,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0,0.0,0.0
0,6,668.8824546752866,1377.8444463369883,576.1056382983198,414.00665065382873,600.7717800212033,431.89239556202625
0,7,747.2295050849497,1586.4532717715372,661.8082212603077,456.8391631801026,661.720480759726,484.3160124147332
0,8,767.5577773405269,1635.4258102893264,679.401966081236,467.46089233578374,676.5041275384826,495.1446030397203
0,9,774.6650387093285,1655.9798184096858,688.935228989579,473.608953266352,683.9061167693095,499.33825064216586
0,10,795.349314332871,1714.0491866541265,711.8140668248574,485.9186674132344,700.7128842886596,511.75755094752117
0,11,845.8351196712616,1840.6209671972754,766.0035384265253,511.2612167800166,737.005758190929,543.8936803466274
0,12,960.5523376809874,2117.1417990341915,897.9903742302185,602.7056397924027,835.6360582706629,616.8111468837915
0,13,0.0,0.0,0.0,0.0,0.0,0.0
0,14,46.471909116145575,82.42198672807966,35.63810064239596,29.394797875109642,64.84654761697392,30.65467566842892
0,15,78.6791625903585,134.43556131998324,64.1308526574023,48.63834572260244,108.14816535449212,50.207864203161414
0,16,78.29144272266508,134.81131091904257,63.24658897597342,48.41251013363645,109.54721415522178,52.01197245969422
0,17,1403.075925700692,3220.9990054642763,1442.7084663513601,1002.461754218423,1519.4618086511553,1282.3272905637575
0,18,1605.5857380148234,3593.2179034600294,1607.6503121982214,1135.7716207204016,1719.917599194758,1439.4598094179196
0,19,0.0,0.0,0.0,0.0,0.0,0.0
0,20,0.0,0.0,0.0,0.0,0.0,0.0
0,21,0.0,0.0,0.0,0.0,0.0,0.0
0,22,142.31236300712817,156.82223648859562,103.86697064187538,78.4885574093981,60.45970206548445,45.19060242234285
0,23,177.36840556693934,190.56640096620228,133.7957284386606,99.10128036864243,75.04554813976745,57.83053058515427
0,24,552.2712623793888,654.3514818833834,381.98084059122465,294.914201577236,230.90387704008,181.4737457104881
0,25,264.89466631508884,397.8616183909242,220.91128482578202,174.6174176393777,138.52721878401834,110.0248960453385
0,26,0.0,0.0,0.0,0.0,0.0,0.0
0,27,0.0,0.0,0.0,0.0,0.0,0.0
0,28,280.0694382058587,419.18915992830676,234.50703889325985,183.74467136682867,149.1375004171572,117.99059158905979
0,29,0.0,0.0,0.0,0.0,0.0,0.0
0,30,0.0,0.0,0.0,0.0,0.0,0.0
0,31,1630.3661171064614,2028.3353341518502,1188.488429025913,918.279297862249,736.5187397422898,577.4972944217333
0,32,1695.007340224357,2101.355445148044,1237.6693603221395,955.1448118302028,769.4447491497609,606.4034718065528
